position,examination
443,-1.5799941
444,-0.4672099
445,-1.5176297
446,-1.8435473
447,-1.8650211
448,1.972946
449,-0.5492153
450,1.5417092
451,-0.15334554
452,-0.57004774
453,1.9308779
454,-1.1600167
455,-1.1211721
456,-0.7958858
457,-0.53788435
458,1.6812487
459,-1.8462944
460,1.6940794
461,-1.3514407
462,-1.1582572
463,-0.8581103
464,-2.1015456
465,-0.99578536
466,-0.32886007
467,-0.6377533
468,1.8882961
469,2.0088055
470,-0.779803
471,-2.324791
472,-0.2381028
473,0.3757187
474,-0.6293388
475,0.2846095
476,-0.349763
477,0.45530933
478,-1.5342256
479,-0.5598354
480,-0.72227293
481,-0.9206014
482,1.0050017
483,-0.5502043
484,-1.4247186
485,-1.4786291
486,0.52789015
487,1.8972632
488,-1.1499132
489,1.8708434
490,1.3836106
491,-0.56302166
492,2.032357
493,-0.4389747
494,-0.88878495
495,-0.37525856
496,0.004237852
497,0.57590514
498,-3.0953343
499,-0.6120873
500,2.6693785
501,-1.050504
502,0.08853917
503,1.9793633
504,2.17782
505,-1.8669218
506,-3.4035602
507,-1.4615542
508,-2.909553
509,-0.11461817
510,1.7012638
511,-0.91278404
512,2.0463567
513,2.7948039
514,-0.7904489
515,-1.5357028
516,-1.9613284
517,2.0947006
518,1.7295301
519,-1.4286638
520,-0.4952011
521,-0.7833584
522,1.7650008
523,-1.7893025
524,-1.0315949
525,-1.1298416
526,-1.6765931
527,2.3895185
528,-0.79398704
529,-0.74120766
530,-0.94719195
531,2.4164755
532,-0.46741787
533,-1.1280576
534,-1.2486571
535,0.39765114
536,-2.839784
537,2.208431
538,-1.8163304
539,-2.0441155
540,-1.0086026
541,-1.0840575
542,-1.5303686
543,-1.0647659
544,-2.6708908
545,-1.0678545
546,-0.8196241
547,-1.9209728
548,-0.6879417
549,-1.5588473
550,0.8179821
551,-0.94326985
552,-1.1799034
553,0.5883233
554,-0.5897859
555,-0.7574938
556,-0.7071238
557,-1.1432401
558,-1.8946847
559,0.8295127
560,-1.7717507
561,2.6001208
562,-1.0084417
563,1.658288
564,-1.0915744
565,-0.8611347
566,-1.7919096
567,-0.79881567
568,-0.50409645
569,-0.70232135
570,-0.91001195
571,-2.478729
572,1.8806494
573,-0.5715134
574,-1.7098475
575,1.788113
576,-0.42003033
577,-1.6750345
578,-2.4639263
579,-1.1739649
580,-1.5700096
581,2.9776216
582,-1.2297668
583,-0.8251025
584,1.6755134
585,-0.68101877
586,0.08071076
587,-1.5520703
588,-2.49859
589,-0.3689127
590,-1.0013282
591,-1.7338747
592,0.5770428
593,3.597476
594,-2.610951
595,-0.8328096
596,-1.3103142
597,1.5762191
598,-2.5184267
599,-0.69513106
600,2.5259466
601,-1.3275131
602,-1.6159967
603,-0.63738525
604,-3.0877984
605,-1.8186244
606,-2.1470494
607,-0.58340865
608,-1.6667808
609,-0.39640975
610,-2.143833
611,1.9267597
612,0.74467075
